Private School Name,State Name [Private School] Latest available year,State Name [Private School] 2015-16,Private School Name [Private School] 2015-16,County Name [Private School] 2015-16
ACHIEVE KIDS,CALIFORNIA,CALIFORNIA,ACHIEVE KIDS,SANTA CLARA
ACHIEVEMENT CENTER (THE),FLORIDA,FLORIDA,ACHIEVEMENT CENTER (THE),SARASOTA
ACHIEVER CHRISTIAN SCHOOL,CALIFORNIA,CALIFORNIA,ACHIEVER CHRISTIAN SCHOOL,SANTA CLARA
ACHIEVER'S CHRISTIAN ACADEMY,FLORIDA,FLORIDA,ACHIEVER'S CHRISTIAN ACADEMY,HAMILTON
ACHIEVERS CENTER FOR EDUCATION,TEXAS,TEXAS,ACHIEVERS CENTER FOR EDUCATION,BEXAR
ACLD TILLOTSON SCHOOL,PENNSYLVANIA,PENNSYLVANIA,ACLD TILLOTSON SCHOOL,ALLEGHENY
ACORN HILL WALDORF KINDERGARTEN & NURSERY,MARYLAND,MARYLAND,ACORN HILL WALDORF KINDERGARTEN & NURSERY,MONTGOMERY
ACORN MONTESSORI SCHOOL,NEW JERSEY,NEW JERSEY,ACORN MONTESSORI SCHOOL,HUNTERDON
ACORN SCHOOL,NEW HAMPSHIRE,NEW HAMPSHIRE,ACORN SCHOOL,ROCKINGHAM
ACT,GEORGIA,GEORGIA,ACT,DEKALB
ACTIVE LEARNING CENTER,PENNSYLVANIA,PENNSYLVANIA,ACTIVE LEARNING CENTER,LEHIGH
ACTS ACADEMY,ALABAMA,ALABAMA,ACTS ACADEMY,CHAMBERS
ACTS ADVANCED CHRISTIAN TRAINING SCHOOLS,CALIFORNIA,CALIFORNIA,ACTS ADVANCED CHRISTIAN TRAINING SCHOOLS,SAN LUIS OBISPO
ACTS CHRISTIAN ACADEMY,NEW MEXICO,NEW MEXICO,ACTS CHRISTIAN ACADEMY,SAN JUAN
ADA CHRISTIAN SCHOOL,MICHIGAN,MICHIGAN,ADA CHRISTIAN SCHOOL,KENT
ADAMS COUNTY CHRISTIAN ACADEMY,PENNSYLVANIA,PENNSYLVANIA,ADAMS COUNTY CHRISTIAN ACADEMY,ADAMS
ADAMS COUNTY CHRISTIAN SCHOOL,OHIO,OHIO,ADAMS COUNTY CHRISTIAN SCHOOL,ADAMS
ADAMS INTERNATIONAL SCHOOL,VIRGINIA,VIRGINIA,ADAMS INTERNATIONAL SCHOOL,GOOCHLAND
